number,author,title,status,comment_count,reaction_count,reaction_heart_count,reaction_plusone_count,reaction_minusone_count,reaction_laugh_count,reaction_confused_count,reaction_hooray_count,created,updated,url
4030,tillig,"Ability to block one pipeline from starting while another is running; or, try/finally support",open,2,0,0,0,0,0,0,0,2019-02-25 20:50:14 UTC,2019-04-11 21:00:30 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/4030
4028,purkhusid,Webhooks occasionally not triggering pipelines,open,2,0,0,0,0,0,0,0,2019-02-25 14:19:30 UTC,2019-04-15 21:10:17 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/4028
4027,WakeupTsai,Orca consumes most of the cpu and memory,open,2,0,0,0,0,0,0,0,2019-02-25 10:02:16 UTC,2019-04-12 02:55:22 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/4027
4011,daviddyball,Feature request: Kubernetes Server-Side Dry Run Support Stage,open,2,0,0,0,0,0,0,0,2019-02-21 12:22:47 UTC,2019-04-08 11:55:15 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/4011
4009,ysawa0,"Page freezes with ""Maximum call stack size exceeded error"" when trying to view a pipeline's details page during execution",open,2,0,0,0,0,0,0,0,2019-02-20 22:24:13 UTC,2019-04-07 20:50:18 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/4009
3991,timoris,Spinnaker v1 deployments creates another empty replicaset,open,2,0,0,0,0,0,0,0,2019-02-19 13:50:02 UTC,2019-03-05 20:47:20 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/3991
3964,bytesandwich,Rosco debianRepository configuration key not transferred from hal profiles or service-settings,open,2,0,0,0,0,0,0,0,2019-02-13 00:37:06 UTC,2019-04-01 17:00:26 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/3964
3956,costimuraru,Deck pod fails to start in Kubernetes (Syntax error on line 1 of /etc/apache2/ports.conf),open,2,0,0,0,0,0,0,0,2019-02-10 15:59:23 UTC,2019-04-05 01:30:25 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/3956
3952,jmelchio,hal CLI support for Ivy accounts,open,2,0,0,0,0,0,0,0,2019-02-08 18:46:27 UTC,2019-03-25 18:50:24 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/3952
3948,ybai2sc,spin-monitoring-daemon could not access gate metrics endpoint after IAP enabled,open,2,0,0,0,0,0,0,0,2019-02-07 18:31:23 UTC,2019-04-01 05:35:17 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/3948
3929,sergedonaldp,"Cluster names are prefixed with kind ",open,2,0,0,0,0,0,0,0,2019-02-04 15:51:22 UTC,2019-03-14 01:18:54 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/3929
3925,vital4ik,gate does not come up on GCP marketplace deployed instance after reboot,open,2,0,0,0,0,0,0,0,2019-02-03 17:09:23 UTC,2019-03-20 17:45:33 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/3925
3920,sammic30,"ERROR Could not load ""versions.yml"" from config bucket: 403",open,2,0,0,0,0,0,0,0,2019-01-31 19:55:32 UTC,2019-03-21 19:05:31 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/3920
3917,hskendall,Errors cloning the pipeline,open,2,0,0,0,0,0,0,0,2019-01-31 04:20:44 UTC,2019-03-23 19:15:22 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/3917
3908,rampatnaik,halyard for ubuntu 16.04 should use --allow,open,2,0,0,0,0,0,0,0,2019-01-30 14:45:15 UTC,2019-03-23 19:10:19 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/3908
3875,JamieChe,igor throws random socket timeout exception when polling jenkins info,open,2,0,0,0,0,0,0,0,2019-01-24 09:44:25 UTC,2019-03-19 03:35:26 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/3875
3867,dbyron0,feature request: teach kayenta to substitute extendedScopeParams in metricName when using datadog,open,2,0,0,0,0,0,0,0,2019-01-18 22:11:47 UTC,2019-03-04 22:30:16 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/3867
3866,tillig,Add Azure Storage support for automated canary analysis,open,2,0,0,0,0,0,0,0,2019-01-18 21:21:26 UTC,2019-03-09 20:00:15 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/3866
3856,ssakizread,spinnaker cloudfoundry - getting staging error,open,2,0,0,0,0,0,0,0,2019-01-16 11:37:49 UTC,2019-04-01 16:10:33 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/3856
3855,justinrlee,Request: Improve UX around Kayenta (Canary) Config and Stage Configuration,open,2,0,0,0,0,0,0,0,2019-01-15 21:21:16 UTC,2019-03-09 19:55:20 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/3855
